"","symbol","date","price"
"1","DEXBZUS",2000-01-03,1.805
"2","DEXBZUS",2000-01-04,1.8405
"3","DEXBZUS",2000-01-05,1.856
"4","DEXBZUS",2000-01-06,1.84
"5","DEXBZUS",2000-01-07,1.831
"6","DEXBZUS",2000-01-10,1.819
"7","DEXBZUS",2000-01-11,1.8225
"8","DEXBZUS",2000-01-12,1.835
"9","DEXBZUS",2000-01-13,1.814
"10","DEXBZUS",2000-01-14,1.805
"11","DEXBZUS",2000-01-17,NA
"12","DEXBZUS",2000-01-18,1.7942
"13","DEXBZUS",2000-01-19,1.793
"14","DEXBZUS",2000-01-20,1.7785
"15","DEXBZUS",2000-01-21,1.78
"16","DEXBZUS",2000-01-24,1.768
"17","DEXBZUS",2000-01-25,1.78
"18","DEXBZUS",2000-01-26,1.781
"19","DEXBZUS",2000-01-27,1.78
"20","DEXBZUS",2000-01-28,1.79
"21","DEXBZUS",2000-01-31,1.802
"22","DEXBZUS",2000-02-01,1.795
"23","DEXBZUS",2000-02-02,1.785
"24","DEXBZUS",2000-02-03,1.775
"25","DEXBZUS",2000-02-04,1.773
"26","DEXBZUS",2000-02-07,1.77
"27","DEXBZUS",2000-02-08,1.765
"28","DEXBZUS",2000-02-09,1.77
"29","DEXBZUS",2000-02-10,1.77
"30","DEXBZUS",2000-02-11,1.767
"31","DEXBZUS",2000-02-14,1.769
"32","DEXBZUS",2000-02-15,1.783
"33","DEXBZUS",2000-02-16,1.775
"34","DEXBZUS",2000-02-17,1.777
"35","DEXBZUS",2000-02-18,1.777
"36","DEXBZUS",2000-02-21,NA
"37","DEXBZUS",2000-02-22,1.785
"38","DEXBZUS",2000-02-23,1.79
"39","DEXBZUS",2000-02-24,1.782
"40","DEXBZUS",2000-02-25,1.774
"41","DEXBZUS",2000-02-28,1.779
"42","DEXBZUS",2000-02-29,1.769
"43","DEXBZUS",2000-03-01,1.769
"44","DEXBZUS",2000-03-02,1.759
"45","DEXBZUS",2000-03-03,1.744
"46","DEXBZUS",2000-03-06,1.747
"47","DEXBZUS",2000-03-07,1.747
"48","DEXBZUS",2000-03-08,1.754
"49","DEXBZUS",2000-03-09,1.735
"50","DEXBZUS",2000-03-10,1.738
"51","DEXBZUS",2000-03-13,1.749
"52","DEXBZUS",2000-03-14,1.738
"53","DEXBZUS",2000-03-15,1.7402
"54","DEXBZUS",2000-03-16,1.736
"55","DEXBZUS",2000-03-17,1.737
"56","DEXBZUS",2000-03-20,1.74
"57","DEXBZUS",2000-03-21,1.7395
"58","DEXBZUS",2000-03-22,1.729
"59","DEXBZUS",2000-03-23,1.723
"60","DEXBZUS",2000-03-24,1.73
"61","DEXBZUS",2000-03-27,1.736
"62","DEXBZUS",2000-03-28,1.749
"63","DEXBZUS",2000-03-29,1.74
"64","DEXBZUS",2000-03-30,1.753
"65","DEXBZUS",2000-03-31,1.742
"66","DEXBZUS",2000-04-03,1.742
"67","DEXBZUS",2000-04-04,1.745
"68","DEXBZUS",2000-04-05,1.755
"69","DEXBZUS",2000-04-06,1.745
"70","DEXBZUS",2000-04-07,1.746
"71","DEXBZUS",2000-04-10,1.738
"72","DEXBZUS",2000-04-11,1.7475
"73","DEXBZUS",2000-04-12,1.748
"74","DEXBZUS",2000-04-13,1.764
"75","DEXBZUS",2000-04-14,1.786
"76","DEXBZUS",2000-04-17,1.789
"77","DEXBZUS",2000-04-18,1.766
"78","DEXBZUS",2000-04-19,1.766
"79","DEXBZUS",2000-04-20,1.781
"80","DEXBZUS",2000-04-21,1.779
"81","DEXBZUS",2000-04-24,1.79
"82","DEXBZUS",2000-04-25,1.79
"83","DEXBZUS",2000-04-26,1.799
"84","DEXBZUS",2000-04-27,1.811
"85","DEXBZUS",2000-04-28,1.805
"86","DEXBZUS",2000-05-01,1.807
"87","DEXBZUS",2000-05-02,1.8
"88","DEXBZUS",2000-05-03,1.816
"89","DEXBZUS",2000-05-04,1.814
"90","DEXBZUS",2000-05-05,1.8125
"91","DEXBZUS",2000-05-08,1.805
"92","DEXBZUS",2000-05-09,1.8075
"93","DEXBZUS",2000-05-10,1.818
"94","DEXBZUS",2000-05-11,1.82
"95","DEXBZUS",2000-05-12,1.83
"96","DEXBZUS",2000-05-15,1.845
"97","DEXBZUS",2000-05-16,1.823
"98","DEXBZUS",2000-05-17,1.833
"99","DEXBZUS",2000-05-18,1.831
"100","DEXBZUS",2000-05-19,1.843
"101","DEXBZUS",2000-05-22,1.854
"102","DEXBZUS",2000-05-23,1.852
"103","DEXBZUS",2000-05-24,1.853
"104","DEXBZUS",2000-05-25,1.846
"105","DEXBZUS",2000-05-26,1.841
