symbol,date,open,high,low,close,volume,adjusted
ITUB3.SA,2019-02-05,32.700001,32.82,32.02,32.41,4911000,28.496601
ITUB3.SA,2019-02-06,32.59,32.68,31.200001,31.200001,738800,27.432713
ITUB3.SA,2019-02-07,31.41,31.84,31.200001,31.51,913800,27.705278
ITUB3.SA,2019-02-08,31.639999,32.48,31.5,32.439999,714700,28.522982
ITUB3.SA,2019-02-11,32.459999,32.5,31.6,31.98,1303200,28.118519
ITUB3.SA,2019-02-12,32.189999,32.66,31.940001,32.5,632300,28.575735
ITUB3.SA,2019-02-13,32.5,32.68,31.799999,31.799999,552700,27.960255
ITUB3.SA,2019-02-14,32.009998,32.689999,31.57,32.689999,460700,28.74279
ITUB3.SA,2019-02-15,32.689999,32.720001,32.200001,32.610001,414600,28.672449
ITUB3.SA,2019-02-18,32.610001,32.610001,31.99,32.139999,11606700,28.259205
ITUB3.SA,2019-02-19,32.400002,32.98,32.330002,32.799999,365000,28.839512
ITUB3.SA,2019-02-20,32.900002,33.360001,32.509998,32.509998,605300,28.584524
ITUB3.SA,2019-02-21,32.75,33.369999,32.560001,33.369999,876100,29.340689
ITUB3.SA,2019-02-22,31.799999,32.049999,31.65,31.950001,2763000,29.005421
ITUB3.SA,2019-02-25,32.07,32.110001,31.6,31.6,272800,28.687675
ITUB3.SA,2019-02-26,31.82,31.82,31.5,31.549999,240600,28.642288
ITUB3.SA,2019-02-27,31.700001,31.700001,31.24,31.450001,249700,28.551504
ITUB3.SA,2019-02-28,31.73,31.790001,30.84,31.110001,287200,28.242842
ITUB3.SA,2019-03-01,31.5,31.530001,30.700001,30.75,309100,27.929482
ITUB3.SA,2019-03-06,30.969999,30.969999,30.370001,30.49,157200,27.693329
ITUB3.SA,2019-03-07,30.469999,31.290001,30.4,31.17,359400,28.310959
ITUB3.SA,2019-03-08,31.17,31.58,30.799999,31.58,318100,28.683352
ITUB3.SA,2019-03-11,31.6,32.200001,31.58,32.099998,517200,29.155657
ITUB3.SA,2019-03-12,32.16,32.189999,31.85,32.16,408800,29.210154
ITUB3.SA,2019-03-13,32.189999,32.610001,31.799999,32.5,537100,29.518965
ITUB3.SA,2019-03-14,32.599998,32.599998,31.799999,31.799999,364200,28.883177
ITUB3.SA,2019-03-15,32.009998,32.349998,31.370001,31.370001,780100,28.492617
ITUB3.SA,2019-03-18,31.799999,32.150002,31.73,32.040001,487900,29.101156
ITUB3.SA,2019-03-19,31.83,32.150002,31.700001,31.700001,386800,28.792345
ITUB3.SA,2019-03-20,31.99,31.99,31.059999,31.24,272700,28.37454
ITUB3.SA,2019-03-21,31.299999,31.299999,30.07,30.59,583000,27.784159
ITUB3.SA,2019-03-22,30.299999,30.299999,29.459999,29.85,719100,27.112041
ITUB3.SA,2019-03-25,29.9,30.43,29.5,29.65,452300,26.93038
ITUB3.SA,2019-03-26,29.690001,30.120001,29.389999,29.58,678200,26.866798
ITUB3.SA,2019-03-27,29.49,29.49,28.65,28.799999,485400,26.158346
ITUB3.SA,2019-03-28,28.799999,29.82,28.620001,29.610001,265800,26.894041
ITUB3.SA,2019-03-29,29.959999,30.049999,29.57,29.85,243000,27.112041
ITUB3.SA,2019-04-01,30.07,30.200001,29.450001,29.65,313200,26.943918
ITUB3.SA,2019-04-02,29.73,29.790001,29.26,29.4,194900,26.71674
ITUB3.SA,2019-04-03,29.41,29.709999,28.84,29.01,225300,26.362329
ITUB3.SA,2019-04-04,29.02,29.59,29.02,29.450001,138800,26.762171
ITUB3.SA,2019-04-05,29.780001,30,29.41,29.85,189700,27.125668
ITUB3.SA,2019-04-08,29.99,30,29.5,29.700001,244200,26.989355
ITUB3.SA,2019-04-09,29.690001,29.690001,29.129999,29.559999,142500,26.862137
ITUB3.SA,2019-04-10,29.65,29.709999,29.16,29.32,182100,26.644033
ITUB3.SA,2019-04-11,29.360001,29.370001,28.76,28.940001,400700,26.298725
ITUB3.SA,2019-04-12,28.91,29.34,28.33,28.639999,271000,26.026098
ITUB3.SA,2019-04-15,28.690001,29.1,28.450001,28.780001,214400,26.15332
ITUB3.SA,2019-04-16,28.809999,29.07,28.58,28.58,193200,25.971581
ITUB3.SA,2019-04-17,28.780001,28.969999,28.040001,28.43,224700,25.835268
ITUB3.SA,2019-04-18,28.440001,28.879999,28.209999,28.82,265200,26.189667
ITUB3.SA,2019-04-22,28.469999,28.82,28.42,28.620001,131700,26.007917
ITUB3.SA,2019-04-23,28.93,29.26,28.91,29.15,109400,26.48955
ITUB3.SA,2019-04-24,29.299999,29.299999,28.719999,29.15,204100,26.48955
ITUB3.SA,2019-04-25,29.280001,29.41,28.66,29.33,276000,26.653126
ITUB3.SA,2019-04-26,29.49,29.49,29.15,29.309999,273200,26.634949
ITUB3.SA,2019-04-29,29.5,29.549999,29.059999,29.35,108200,26.671305
ITUB3.SA,2019-04-30,29.67,29.67,29.08,29.35,228400,26.671305
ITUB3.SA,2019-05-02,29.35,29.59,29.16,29.459999,309200,26.784948
ITUB3.SA,2019-05-03,29.700001,29.75,29.25,29.290001,200500,26.630388
ITUB3.SA,2019-05-06,29.120001,29.129999,28.68,28.68,236900,26.075779
ITUB3.SA,2019-05-07,28.700001,28.75,28.059999,28.51,417500,25.921213
ITUB3.SA,2019-05-08,28.610001,29.25,28.57,28.73,221400,26.121233
ITUB3.SA,2019-05-09,28.799999,28.799999,28.25,28.5,314500,25.912123
ITUB3.SA,2019-05-10,28.530001,28.790001,28.110001,28.200001,350600,25.639364
ITUB3.SA,2019-05-13,28.200001,28.209999,27.73,27.75,274300,25.230227
ITUB3.SA,2019-05-14,27.82,28.16,27.549999,27.639999,301500,25.130209
ITUB3.SA,2019-05-15,27.549999,27.709999,27.190001,27.67,197700,25.15748
ITUB3.SA,2019-05-16,27.700001,27.75,27.219999,27.440001,232400,24.948366
ITUB3.SA,2019-05-17,27.440001,27.82,27.200001,27.4,513400,24.911999
ITUB3.SA,2019-05-20,27.65,28.09,27.42,28.040001,207600,25.493885
ITUB3.SA,2019-05-21,27.950001,29.09,27.950001,29.02,407300,26.384899
ITUB3.SA,2019-05-22,29.26,29.27,28.690001,29.17,244900,26.521278
ITUB3.SA,2019-05-23,29.120001,29.120001,28.66,28.92,154300,26.293983
ITUB3.SA,2019-05-24,29.26,29.27,28.52,28.700001,280700,26.093964
ITUB3.SA,2019-05-27,28.82,28.950001,28.51,28.51,248400,25.921213
ITUB3.SA,2019-05-28,28.58,29.389999,28.57,29.26,295600,26.603113
ITUB3.SA,2019-05-29,29.280001,30.040001,29.26,29.790001,414600,27.084986
ITUB3.SA,2019-05-30,30,30.4,29.860001,30.15,287600,27.412298
ITUB3.SA,2019-05-31,30.24,30.440001,29.959999,30.110001,263500,27.375925
ITUB3.SA,2019-06-03,30.110001,30.4,29.950001,30.24,516600,27.507824
ITUB3.SA,2019-06-04,30,30.33,30,30.17,280600,27.444147
ITUB3.SA,2019-06-05,30.17,30.27,29.59,29.709999,171700,27.025711
ITUB3.SA,2019-06-06,29.99,30,29.639999,30,145000,27.289509
ITUB3.SA,2019-06-07,29.85,30.32,29.83,30.190001,182800,27.462341
ITUB3.SA,2019-06-10,30.17,30.17,29.459999,29.65,246100,26.971132
ITUB3.SA,2019-06-11,29.85,30,29.52,29.969999,115500,27.26222
ITUB3.SA,2019-06-12,29.969999,30.129999,29.610001,29.860001,160000,27.162155
ITUB3.SA,2019-06-13,29.73,29.889999,29.129999,29.48,263600,26.816494
ITUB3.SA,2019-06-14,29.15,29.32,28.98,29.27,159700,26.62546
ITUB3.SA,2019-06-17,29.01,29.59,29.01,29.42,179300,26.761909
ITUB3.SA,2019-06-18,29.42,29.85,29.42,29.85,244700,27.153065
ITUB3.SA,2019-06-19,29.68,30.42,29.68,30.309999,324400,27.571501
ITUB3.SA,2019-06-21,30.450001,30.98,30.42,30.98,1066900,28.180967
ITUB3.SA,2019-06-24,30.98,31.200001,30.559999,30.940001,575000,28.144587
ITUB3.SA,2019-06-25,30.950001,30.950001,30.459999,30.6,1244900,27.835299
ITUB3.SA,2019-06-26,30.889999,31.200001,30.67,31.200001,347700,28.381092
ITUB3.SA,2019-06-27,30.57,31.18,30.57,31,346100,28.199158
ITUB3.SA,2019-06-28,31,31.26,30.92,31.129999,451100,28.317415
ITUB3.SA,2019-07-01,31.42,31.42,30.9,31.110001,280500,28.312862
ITUB3.SA,2019-07-02,31.120001,31.200001,30.66,30.799999,309900,28.030733
ITUB3.SA,2019-07-03,30.790001,31.280001,30.5,31.219999,290800,28.412977
ITUB3.SA,2019-07-04,31.290001,31.860001,31.290001,31.530001,582900,28.695103
ITUB3.SA,2019-07-05,31.620001,31.860001,31.309999,31.799999,364100,28.940823
ITUB3.SA,2019-07-08,31.790001,31.860001,31.59,31.860001,253900,28.99543
ITUB3.SA,2019-07-10,31.9,32.09,31.57,31.57,726400,28.731504
ITUB3.SA,2019-07-11,31.719999,31.84,31.219999,31.549999,343700,28.713299
ITUB3.SA,2019-07-12,31.77,31.84,31.049999,31.379999,251700,28.55859
ITUB3.SA,2019-07-15,31.379999,31.41,30.84,31.049999,244100,28.258257
ITUB3.SA,2019-07-16,31.049999,31.24,30.879999,31.16,316500,28.35837
ITUB3.SA,2019-07-17,31.309999,31.459999,31,31,918200,28.212751
ITUB3.SA,2019-07-18,31,31.73,31,31.73,355000,28.877119
ITUB3.SA,2019-07-19,31.74,31.76,31.09,31.110001,576700,28.312862
ITUB3.SA,2019-07-22,31.120001,31.65,31.120001,31.549999,229400,28.713299
ITUB3.SA,2019-07-23,31.549999,31.76,31.299999,31.57,432900,28.731504
ITUB3.SA,2019-07-24,31.559999,31.9,31.43,31.68,352700,28.831612
ITUB3.SA,2019-07-25,31.67,31.83,30.5,30.74,507300,27.976137
ITUB3.SA,2019-07-26,30.799999,31.299999,30.530001,31.1,543800,28.303766
ITUB3.SA,2019-07-29,31.24,31.379999,30.889999,31.120001,312500,28.32196
ITUB3.SA,2019-07-30,31.280001,31.280001,30.18,30.370001,486600,27.639399
ITUB3.SA,2019-07-31,30.51,30.51,29.77,29.9,814000,27.211662
ITUB3.SA,2019-08-01,30.110001,30.9,29.950001,29.99,554700,27.307257
ITUB3.SA,2019-08-02,30.24,30.24,29.719999,29.959999,592100,27.279949
ITUB3.SA,2019-08-05,29.959999,29.959999,29.48,29.67,698500,27.015892
ITUB3.SA,2019-08-06,30,30.6,29.959999,30.6,212600,27.862694
ITUB3.SA,2019-08-07,30.559999,31.799999,30.110001,31.799999,747200,28.955347
ITUB3.SA,2019-08-08,31.82,32.240002,31.709999,31.809999,453000,28.964457
ITUB3.SA,2019-08-09,31.969999,31.969999,31.24,31.809999,359300,28.964457
ITUB3.SA,2019-08-12,31.52,31.530001,30.530001,30.66,549500,27.917334
ITUB3.SA,2019-08-13,30.790001,31.1,30.559999,30.950001,462500,28.181389
ITUB3.SA,2019-08-14,30.950001,30.950001,30.4,30.4,428600,27.680584
ITUB3.SA,2019-08-15,30.9,30.9,30.16,30.190001,355000,27.489372
ITUB3.SA,2019-08-16,29.799999,30.08,29.42,29.52,614100,27.375864
ITUB3.SA,2019-08-19,29.799999,29.93,29.209999,29.4,234400,27.264584
ITUB3.SA,2019-08-20,29.66,29.66,28.809999,29.16,142800,27.042017
ITUB3.SA,2019-08-21,29.219999,29.59,29.1,29.549999,239800,27.403687
ITUB3.SA,2019-08-22,29.549999,29.549999,29,29.139999,239300,27.02346
ITUB3.SA,2019-08-23,29.1,29.299999,28.6,28.879999,507700,26.782354
ITUB3.SA,2019-08-26,29.49,29.49,28.450001,28.76,328500,26.671066
ITUB3.SA,2019-08-27,28.98,29.32,28.77,29.01,232800,26.90291
